_ID,EMPID,CERTIFICATENAME,ISSUINGORGANIZATION,ISSUEDATE,EXPIREDATE,CREDENTIALID,STATUS,__V
6613be2c3a055b1dbdeabc5e,EMP1,Flask,Parker Inc,01-04-1995,23-04-2024,98c6c2ab-5d6b-4d3d-8092-c80c0e16da80,Pending,nan
6613be2c3a055b1dbdeabc5f,EMP1,Python,Davis Group,13-09-1984,07-05-2024,21bba819-c589-495f-8bfd-8922d9e8c62b,Rejected,nan
6613be2c3a055b1dbdeabc60,EMP1,Swift,"Willis, Morris and Brown",20-09-1980,07-05-2024,d98a8e7d-8f65-4a99-9594-370b2ded6e6e,Approved,nan
6613be2c3a055b1dbdeabc61,EMP1,Responsive Design,"Moses, Anderson and Weber",21-09-2010,30-04-2024,7a0726a5-41ec-4967-b042-0397b6b282a9,Rejected,nan
6613be2c3a055b1dbdeabc62,EMP2,AWS,"Higgins, Patel and Rivera",29-01-1979,22-04-2024,ee3cbee8-8672-4708-97c1-efdd53ba641d,Approved,nan
6613be2c3a055b1dbdeabc63,EMP2,Continuous Deployment,"Williams, Wood and Doyle",17-08-2004,02-05-2024,18f59fd3-82da-4eb1-9526-c0e1995f7d50,Approved,nan
6613be2c3a055b1dbdeabc64,EMP2,NoSQL,Anderson-Frye,20-10-2006,07-05-2024,2d77f8bf-48c8-4fb3-862e-ea023175502c,Approved,nan
6613be2c3a055b1dbdeabc65,EMP2,React,Acosta-Navarro,27-05-1996,26-04-2024,9f560f35-c03f-47c8-85db-24266025b24b,Approved,nan
6613be2c3a055b1dbdeabc66,EMP3,MySQL,Thompson and Sons,25-12-2021,11-04-2024,fd9c850f-b39d-40c0-ba3c-5e5022c623c8,Approved,nan
6613be2c3a055b1dbdeabc67,EMP3,Scrum,Richardson Group,15-03-2007,15-04-2024,b9a9d495-29c2-4100-82e7-562c84b351c1,Rejected,nan
6613be2c3a055b1dbdeabc68,EMP3,Docker,Hill-Smith,08-06-1983,25-04-2024,9e3cb42a-7e74-4473-93f1-fe7a4ad80aca,Rejected,nan
6613be2c3a055b1dbdeabc69,EMP3,C#,"Coffey, Fuller and Palmer",13-02-2003,10-04-2024,e832ed8b-498e-4805-8f58-cded5cbee2de,Rejected,nan
6613be2c3a055b1dbdeabc6a,EMP4,Kubernetes,"Marshall, Glass and Foster",31-10-1993,29-04-2024,15058c02-b48e-42b7-804a-ede5a5598727,Rejected,nan
6613be2c3a055b1dbdeabc6b,EMP4,Data Analysis,Williams and Sons,20-08-1979,07-05-2024,3c26a717-c824-4693-bcd4-7d0a9f7b4300,Rejected,nan
6613be2c3a055b1dbdeabc6c,EMP4,Node.js,Gardner PLC,11-04-2007,23-04-2024,40ac4fd9-f637-4a17-9322-d163bc9680a0,Rejected,nan
6613be2c3a055b1dbdeabc6d,EMP4,Google Cloud Platform,Contreras-Newton,07-07-1997,19-04-2024,bfadf1cc-8ab7-4705-8939-942ff5e3ea54,Approved,nan
6613be2c3a055b1dbdeabc6e,EMP5,Continuous Integration,Williams-Hendricks,29-04-2019,03-05-2024,5615d93a-390a-495e-aa86-9069a615e8c9,Rejected,nan
6613be2c3a055b1dbdeabc6f,EMP5,DevOps,Mclean Ltd,26-08-1979,21-04-2024,5e841ebd-3181-4bd5-8c24-9ee212fb8937,Approved,nan
6613be2c3a055b1dbdeabc70,EMP5,Cryptography,"Singleton, Cole and Watts",13-04-2022,02-05-2024,5c3bd2db-7431-45c1-b73c-597632a12b8d,Rejected,nan
6613be2c3a055b1dbdeabc71,EMP5,Artificial Intelligence,"Huber, Ayers and Stein",13-11-2001,26-04-2024,ae3f195b-158d-49ad-ba02-8d57e6d5d598,Rejected,nan
6613be2c3a055b1dbdeabc72,EMP6,Documentation,Ford-Vega,23-11-1979,10-04-2024,5f69c901-d55f-424c-8774-f4ddb69a8bb1,Rejected,nan
6613be2c3a055b1dbdeabc73,EMP6,Node.js,"Zamora, Fisher and Harris",26-03-1973,13-04-2024,a5b45f62-922a-4a78-b08a-65d3ba788224,Rejected,nan
6613be2c3a055b1dbdeabc74,EMP6,Collaboration,Peterson Ltd,26-05-2018,09-04-2024,8cd061d5-f887-48fd-80b9-8579ae0a819e,Rejected,nan
6613be2c3a055b1dbdeabc75,EMP6,Support,White Inc,26-06-1984,02-05-2024,8b1d27ac-ba0a-44c2-a044-8a135f239a5e,Rejected,nan
6613be2c3a055b1dbdeabc76,EMP7,Python,Wang-Lambert,02-01-2015,21-04-2024,2108538c-64f7-4c14-9f51-f9b87df19f4b,Rejected,nan
6613be2c3a055b1dbdeabc77,EMP7,Agile Methodologies,"Barber, Lewis and Padilla",05-01-1972,26-04-2024,07c4869b-5cfd-47a1-8320-9fb11657d3b9,Rejected,nan
6613be2c3a055b1dbdeabc78,EMP7,Data Visualization,Jenkins Group,03-02-2013,19-04-2024,1d2b3255-aae9-4469-bf90-9f05db93b34d,Rejected,nan
