EMPLOYEE_ID,RECOMMENDED_EVENTS
EMP2,"Machine Learning, Documentation, PHP, Statistical Analysis, Vue.js"
EMP3,"Azure, User Research, SQL, Python, DevOps"
EMP4,"DevOps, Data Analysis, Python, Git, Penetration Testing"
EMP5,"SQL, User Research, Python, Azure, DevOps"
EMP7,"Data Visualization, C#, Test-Driven Development, Microservices, Scrum"
EMP8,"User Research, SQL, Python, Azure, DevOps"
EMP10,"Data Analysis, Git, DevOps, Penetration Testing, Python"
EMP15,"Data Visualization, C#, Test-Driven Development, Microservices, Scrum"
EMP19,"PHP, Machine Learning, Penetration Testing, Vue.js, Documentation"
EMP20,"PHP, Machine Learning, Penetration Testing, Vue.js, Documentation"
EMP21,"C#, Data Visualization, Test-Driven Development, Microservices, Scrum"
EMP24,"Penetration Testing, Vue.js, PHP, Machine Learning, Git"
EMP25,"Penetration Testing, Vue.js, PHP, Machine Learning, Git"
EMP26,"Machine Learning, Documentation, PHP, Statistical Analysis, Vue.js"
EMP27,"DevOps, Data Analysis, Python, Git, Penetration Testing"
EMP28,"Microservices, C#, Data Visualization, Test-Driven Development, Scrum"
EMP29,"Data Analysis, DevOps, Git, Penetration Testing, Python"
EMP31,"DevOps, Data Analysis, Python, Git, Penetration Testing"
EMP39,"User Research, SQL, Azure, Python, DevOps"
EMP42,"Git, Data Analysis, Penetration Testing, Vue.js, DevOps"
EMP43,"Git, Data Analysis, Penetration Testing, Vue.js, DevOps"
EMP45,"Git, Data Analysis, Penetration Testing, Vue.js, DevOps"
EMP48,"Data Analysis, Git, DevOps, Penetration Testing, Python"
EMP49,"SQL, User Research, Python, Azure, DevOps"
EMP50,"C#, Data Visualization, Test-Driven Development, Microservices, Scrum"
EMP51,"DevOps, Data Analysis, Python, Git, Penetration Testing"
EMP53,"C#, Data Visualization, Test-Driven Development, Microservices, Scrum"
EMP54,"Machine Learning, Documentation, PHP, Statistical Analysis, Vue.js"
EMP55,"SQL, User Research, Python, Azure, DevOps"
EMP59,"User Research, SQL, Azure, Python, DevOps"
EMP61,"DevOps, Data Analysis, Python, Git, Penetration Testing"
EMP62,"Machine Learning, Documentation, PHP, Statistical Analysis, Vue.js"
EMP64,"C#, Data Visualization, Test-Driven Development, Microservices, Scrum"
EMP1,"Machine Learning, PHP, Documentation, Vue.js, Penetration Testing"
EMP6,"Machine Learning, PHP, Documentation, Penetration Testing, Vue.js"
EMP9,"Machine Learning, PHP, Documentation, Penetration Testing, Vue.js"
EMP11,"PHP, Machine Learning, Documentation, Penetration Testing, Vue.js"
EMP12,"Machine Learning, PHP, Documentation, Vue.js, Penetration Testing"
EMP13,"Machine Learning, PHP, Documentation, Vue.js, Penetration Testing"
EMP14,"Machine Learning, PHP, Documentation, Vue.js, Penetration Testing"
EMP16,"Machine Learning, PHP, Documentation, Penetration Testing, Vue.js"
